,total_count,date
13042,7752,2021-09-28
13320,2290,2021-09-28
12128,3933,2021-09-30
8975,2049,2021-11-09
5419,3243,2021-11-09
13493,2238,2021-11-09
10283,9229,2021-11-09
3516,11393,2021-11-09
11851,5609,2021-11-09
13515,7221,2021-11-09
9344,3524,2021-11-09
6160,3671,2021-11-09
9686,2699,2021-11-09
7158,4174,2021-11-09
9671,20860,2021-11-09
9738,1622,2021-11-09
13355,2085,2021-11-10
13196,5283,2021-11-10
2833,29635,2021-11-10
2832,18978,2021-11-10
10836,8684,2021-11-10
13535,18951,2021-11-10
13212,11674,2021-11-10
11852,4904,2021-11-10
11936,13088,2021-11-10
13530,8386,2021-11-10
12303,2153,2021-11-10
2835,17850,2021-11-10
6411,7925,2021-11-10
9634,40174,2021-11-10
13341,14084,2021-11-10
9518,5707,2021-11-10
1993,11921,2021-11-10
13295,13657,2021-11-10
9635,40556,2021-11-10
13480,4602,2021-11-10
11699,28198,2021-11-10
7291,14046,2021-11-10
10002,7510,2021-11-10
13684,12239,2021-11-10
8505,48854,2021-11-11
8504,73028,2021-11-11
8509,46465,2021-11-11
8508,58784,2021-11-11
8540,4550,2021-11-11
8511,48876,2021-11-11
8512,64230,2021-11-11
8513,80164,2021-11-11
13105,28278,2021-11-11
2841,21125,2021-11-16
2844,12092,2021-11-16
2843,19505,2021-11-16
5957,6012,2021-11-16
10431,3635,2021-11-16
5405,5113,2021-11-16
5784,8939,2021-11-16
1392,12096,2021-11-16
2431,25631,2021-11-16
2370,26598,2021-11-16
12259,2712,2021-11-17
3493,10149,2021-11-17
2444,31612,2021-11-17
11556,4138,2021-11-17
1383,10901,2021-11-17
10430,6473,2021-11-17
12086,870,2021-11-17
12077,4728,2021-11-17
8206,3302,2021-11-17
12530,6467,2021-11-17
2765,3566,2021-11-17
9897,13011,2021-11-17
9723,4509,2021-11-17
11452,1519,2021-11-18
1504,25047,2021-11-18
6404,4970,2021-11-18
11179,14475,2021-11-18
11845,359,2021-11-18
7101,29442,2021-11-18
7128,19290,2021-11-18
12512,3874,2021-11-18
4635,7735,2021-11-18
13084,36428,2021-11-18
10264,4692,2021-11-18
13087,16488,2021-11-18
11456,1426,2021-11-18
6901,7784,2021-11-18
4985,2958,2021-11-18
2758,15972,2021-11-18
1486,26431,2021-11-18
2757,12760,2021-11-18
11270,5484,2021-11-30
3245,4679,2021-11-30
11799,2658,2021-11-30
11212,4909,2021-11-30
6365,9972,2021-11-30
11207,1737,2021-11-30
11282,10564,2021-11-30
11766,3998,2021-12-01
8308,9295,2021-12-01
8613,10286,2021-12-01
11629,4050,2021-12-01
2838,5461,2021-12-01
11747,1085,2021-12-01
11724,2325,2021-12-01
11680,4431,2021-12-01
3691,1504,2021-12-01
2743,3990,2021-12-01
9883,2340,2021-12-01
2824,13987,2021-12-01
6583,4214,2021-12-02
11081,9860,2021-12-02
9702,14102,2021-12-02
11530,7793,2021-12-02
9701,12072,2021-12-02
11785,18274,2021-12-02
4527,2925,2021-12-02
11860,11389,2021-12-02
11861,14837,2021-12-02
996,5343,2021-12-02
6883,4844,2021-12-02
9872,6791,2021-12-02
11383,5164,2021-12-02
4652,2065,2021-12-02
9885,4288,2021-12-02
4529,2070,2021-12-02
6521,4121,2021-12-02
6524,7912,2021-12-02
11859,12409,2021-12-02
6495,6719,2021-12-02
7265,6999,2021-12-07
6555,8744,2021-12-07
11409,3714,2021-12-07
11209,1153,2021-12-07
11395,5629,2021-12-07
6624,2561,2021-12-07
11370,8215,2021-12-07
11328,1903,2021-12-07
6565,13204,2021-12-07
9564,37958,2021-12-08
4358,3463,2021-12-08
6620,1025,2021-12-08
9591,14513,2021-12-08
1496,27152,2021-12-08
9661,3321,2021-12-08
9696,2493,2021-12-08
2415,21437,2021-12-08
13474,4292,2021-12-08
9739,914,2021-12-08
12496,11918,2021-12-08
11392,7933,2021-12-08
8510,60358,2021-12-08
9890,4674,2021-12-08
12139,6552,2021-12-08
1162,13997,2021-12-08
6945,1852,2021-12-08
7038,3317,2021-12-08
7234,776,2021-12-08
10823,2099,2021-12-08
6946,5667,2021-12-08
6887,4042,2021-12-08
11938,13777,2021-12-08
7363,5733,2021-12-08
7034,4290,2021-12-08
2813,19796,2021-12-09
10292,1817,2021-12-09
4306,8058,2021-12-09
12260,18539,2021-12-09
10516,22420,2021-12-09
5544,44123,2021-12-09
9827,4445,2021-12-09
5642,5284,2021-12-09
2170,7237,2021-12-09
3738,4936,2021-12-09
8289,17859,2021-12-09
10527,19247,2021-12-09
9620,1673,2021-12-09
5543,35577,2021-12-09
6683,7635,2021-12-09
10530,16433,2021-12-09
8597,53025,2021-12-14
8564,53903,2021-12-14
3202,3604,2021-12-14
11240,18790,2021-12-14
4651,2798,2021-12-14
5181,2743,2021-12-14
10746,2323,2021-12-14
5081,11773,2021-12-14
6030,1443,2021-12-14
6194,3312,2021-12-14
4426,3809,2021-12-15
4533,1707,2021-12-15
10681,3481,2021-12-15
4618,1915,2021-12-15
8192,2529,2021-12-15
4643,2164,2021-12-15
7129,28745,2021-12-15
5115,575,2021-12-15
2828,2978,2021-12-15
4735,3814,2021-12-15
5119,2259,2021-12-15
5895,30485,2021-12-16
5901,41212,2021-12-16
5945,1911,2021-12-16
6023,3695,2021-12-16
5993,3886,2021-12-16
5769,1047,2021-12-16
4535,13187,2021-12-16
4541,11963,2021-12-16
4921,7578,2021-12-16
4952,5262,2021-12-16
5362,4558,2021-12-16
11428,19141,2021-12-21
11367,13327,2021-12-21
11803,5545,2021-12-21
6153,1894,2021-12-21
11792,9083,2021-12-21
13171,20545,2021-12-21
13073,3167,2021-12-21
13121,5982,2021-12-21
9189,3498,2021-12-21
6403,4756,2021-12-21
11423,8652,2021-12-21
9804,2107,2021-12-21
9190,6576,2021-12-21
11441,12229,2021-12-21
5835,16810,2022-01-04
11390,5269,2022-01-04
10701,7132,2022-01-04
13368,9278,2022-01-04
10100,1494,2022-01-05
4924,11166,2022-01-06
9140,3204,2022-01-11
10962,14353,2022-01-11
10399,9106,2022-01-13
11415,11813,2022-01-13
10405,17355,2022-01-13
4513,15423,2022-01-13
9867,8629,2022-01-13
9714,13502,2022-01-13
9715,10139,2022-01-13
9868,12210,2022-01-13
9866,16839,2022-01-13
2329,6274,2022-01-13
4876,27192,2022-01-18
6731,19347,2022-01-18
11101,7007,2022-01-18
6491,2567,2022-01-18
6483,2597,2022-01-18
2511,2254,2022-01-19
1229,3389,2022-01-19
972,5002,2022-01-19
1248,5556,2022-01-19
6817,17777,2022-01-19
10145,15882,2022-01-19
9771,5104,2022-01-19
8005,19699,2022-01-19
4602,10188,2022-01-19
4614,10774,2022-01-19
6833,19590,2022-01-19
5078,21557,2022-01-20
7550,1437,2022-01-20
6630,4297,2022-01-25
5495,3040,2022-01-25
6151,2483,2022-01-25
6451,2289,2022-01-26
7384,9664,2022-01-26
7330,7884,2022-01-26
6422,11242,2022-01-26
6405,9316,2022-01-26
4678,4347,2022-01-26
6170,4819,2022-01-27
7999,1898,2022-01-27
9728,1134,2022-01-27
7013,6243,2022-01-27
5117,2860,2022-01-27
8004,2536,2022-01-27
11408,4006,2022-01-27
9547,16288,2022-02-08
7536,1758,2022-02-08
3727,7777,2022-02-08
11906,11608,2022-02-08
12513,4207,2022-02-08
3128,844,2022-02-08
8937,4368,2022-02-08
7895,2805,2022-02-09
7758,5407,2022-02-09
5372,13192,2022-02-09
10700,6982,2022-02-09
10610,5514,2022-02-09
1298,3870,2022-02-09
4628,935,2022-02-09
12981,10517,2022-02-09
10043,17022,2022-02-09
11800,2725,2022-02-10
7311,4315,2022-02-10
6406,9067,2022-02-10
10698,14167,2022-02-10
7303,13417,2022-02-10
13609,23988,2022-02-15
11837,7273,2022-02-15
11831,8777,2022-02-15
2548,11462,2022-02-15
1592,2852,2022-02-15
10964,1879,2022-02-15
1085,15135,2022-02-15
2660,3036,2022-02-15
13631,9799,2022-02-15
10143,17880,2022-02-15
8288,10403,2022-02-16
7985,5865,2022-02-16
10611,5487,2022-02-16
11285,2765,2022-02-16
7139,3750,2022-02-16
8272,6064,2022-02-16
3236,9869,2022-02-16
6039,13402,2022-02-17
12421,6235,2022-02-22
10189,5894,2022-02-22
1812,3853,2022-02-22
11767,7111,2022-02-23
10965,30779,2022-02-23
6492,10956,2022-02-23
3400,11792,2022-02-23
10706,1584,2022-02-23
3404,41421,2022-02-23
2461,5751,2022-02-23
2434,15076,2022-02-23
3485,18747,2022-02-23
11986,9762,2022-02-23
4324,4207,2022-02-23
5321,4664,2022-02-23
4436,4875,2022-02-23
12578,6702,2022-02-23
12148,8228,2022-02-23
2449,14727,2022-02-23
10966,35228,2022-02-23
1869,4687,2022-02-24
11581,6055,2022-02-24
11575,6851,2022-02-24
10557,25432,2022-02-24
12420,2972,2022-02-24
8106,7422,2022-02-24
10364,15584,2022-02-24
820,4394,2022-02-24
2227,22675,2022-03-08
2209,17573,2022-03-08
2197,26329,2022-03-08
5120,2557,2022-03-08
5121,2811,2022-03-08
10960,43194,2022-03-08
11292,1783,2022-03-08
7799,6289,2022-03-08
11283,15597,2022-03-08
11284,11067,2022-03-08
8320,17761,2022-03-08
10961,35871,2022-03-08
11578,24480,2022-03-08
61,7301,2022-03-09
11066,4177,2022-03-09
5455,5257,2022-03-09
3405,26798,2022-03-09
11856,5811,2022-03-09
11681,10222,2022-03-09
3459,18539,2022-03-09
13244,5299,2022-03-09
10703,7324,2022-03-10
3402,35012,2022-03-10
10707,5256,2022-03-10
10458,5930,2022-03-10
10555,19036,2022-03-10
2819,46158,2022-03-10
2820,44497,2022-03-10
1811,5062,2022-03-10
2821,35977,2022-03-10
10571,16007,2022-03-10
2239,12438,2022-03-10
6493,4414,2022-03-15
10641,46563,2022-03-15
11679,5081,2022-03-15
10509,21624,2022-03-15
13214,8505,2022-03-15
12400,4458,2022-03-15
10572,23128,2022-03-15
388,29118,2022-03-16
38,5842,2022-03-16
248,8565,2022-03-16
91,4270,2022-03-16
157,9809,2022-03-16
294,9794,2022-03-16
11819,9998,2022-03-16
1903,12014,2022-03-16
217,12196,2022-03-16
198,4571,2022-03-16
2848,20451,2022-03-17
2847,13170,2022-03-17
331,17778,2022-03-22
232,20704,2022-03-22
486,8547,2022-03-23
454,22640,2022-03-23
1360,6846,2022-03-23
1340,9919,2022-03-23
1747,11819,2022-03-23
7577,12095,2022-03-24
431,4133,2022-03-24
6772,5573,2022-03-24
85,4959,2022-03-24
5990,5128,2022-03-24
6137,22886,2022-03-24
6347,22896,2022-03-24
6778,3257,2022-03-24
6615,6860,2022-03-29
7906,7592,2022-03-29
4840,18519,2022-03-29
1442,8629,2022-03-29
6609,5113,2022-03-29
6603,7036,2022-03-29
7688,4726,2022-03-29
8181,4647,2022-03-29
7916,4232,2022-03-29
12398,4859,2022-03-30
12379,9196,2022-03-30
3620,3153,2022-03-30
4108,684,2022-03-30
5435,13955,2022-03-30
3622,7808,2022-03-30
6000,4502,2022-03-30
7160,9401,2022-03-30
4974,8346,2022-03-30
7570,9829,2022-03-30
752,9029,2022-03-30
6810,7346,2022-03-30
6793,9611,2022-03-30
12171,2072,2022-03-31
12765,21328,2022-04-05
12855,23687,2022-04-05
11041,11195,2022-04-05
12121,4314,2022-04-05
12680,13203,2022-04-05
12821,19547,2022-04-05
12911,3864,2022-04-05
11507,13935,2022-04-05
12772,21109,2022-04-05
12112,2138,2022-04-06
12359,8244,2022-04-06
12667,15978,2022-04-06
10548,21100,2022-04-07
10650,6430,2022-04-07
10710,4541,2022-04-07
10853,6092,2022-04-07
5201,8327,2022-04-12
4812,23318,2022-04-12
1399,13837,2022-04-12
761,3751,2022-04-12
775,7741,2022-04-12
8230,4640,2022-04-12
1413,15783,2022-04-12
12698,20895,2022-04-12
4761,27758,2022-04-12
5252,11180,2022-04-12
5035,6235,2022-04-12
5091,10495,2022-04-12
5046,9967,2022-04-12
9780,10097,2022-04-12
8222,4904,2022-04-13
8216,4036,2022-04-13
8139,3117,2022-04-13
1128,19287,2022-04-13
7246,3632,2022-04-13
1260,4554,2022-04-13
12730,20891,2022-04-14
3959,4755,2022-04-14
12740,22967,2022-04-14
3633,3899,2022-04-14
3958,10998,2022-04-14
1048,9036,2022-04-14
5338,8886,2022-04-14
2125,3563,2022-04-14
12149,4626,2022-04-14
1170,22331,2022-04-14
2136,9308,2022-04-14
10742,5189,2022-04-14
4002,35326,2022-04-19
3956,10998,2022-04-19
1049,13534,2022-04-20
5184,20186,2022-04-20
5355,4835,2022-04-20
3754,4489,2022-04-20
13072,1350,2022-04-20
1967,36745,2022-04-20
5194,40171,2022-04-20
12790,20283,2022-04-20
13039,7743,2022-04-20
13610,9584,2022-04-20
12941,6242,2022-04-20
13553,8606,2022-04-20
12947,10059,2022-04-20
6549,18256,2022-04-20
8162,4299,2022-04-20
5233,83104,2022-04-20
921,3459,2022-04-21
12846,12773,2022-04-21
7673,4299,2022-04-21
9314,5798,2022-04-21
811,1852,2022-04-21
738,9536,2022-04-21
4829,20682,2022-04-21
2519,5254,2022-04-21
779,11409,2022-04-21
12249,5734,2022-04-21
2499,3613,2022-04-21
12497,11390,2022-04-26
10081,11739,2022-04-26
12399,3691,2022-04-26
1396,4112,2022-04-27
8150,5006,2022-04-27
7519,3598,2022-04-27
8827,836,2022-04-27
1026,6212,2022-04-27
9225,13707,2022-04-27
1002,7871,2022-04-27
9116,4654,2022-04-27
1685,3549,2022-04-27
9592,15972,2022-04-27
8156,3446,2022-04-27
12554,12153,2022-04-27
11075,2178,2022-04-27
3643,4760,2022-04-27
10592,3656,2022-04-27
9717,8146,2022-04-28
11048,5115,2022-04-28
12904,6953,2022-04-28
11040,11683,2022-04-28
11039,4810,2022-04-28
889,6510,2022-04-28
10226,10394,2022-04-28
12332,12100,2022-04-28
12897,9173,2022-04-28
13685,5349,2022-04-28
10215,13628,2022-04-28
7304,13805,2022-04-28
932,2534,2022-04-28
12955,2988,2022-06-14
9939,1785,2022-06-14
2236,13811,2022-06-14
11900,1358,2022-06-14
7622,7318,2022-06-14
7811,1447,2022-06-14
2173,23410,2022-06-14
3198,3678,2022-06-15
6062,6525,2022-06-15
11213,5210,2022-06-15
3776,5653,2022-06-15
9213,14598,2022-06-15
10816,5196,2022-06-15
3460,1169,2022-06-15
4353,3645,2022-06-15
9240,38074,2022-06-16
9242,13531,2022-06-16
2721,6270,2022-06-16
12187,3175,2022-06-16
9243,8395,2022-06-16
9543,24654,2022-06-16
13647,6202,2022-06-16
1242,2529,2022-06-16
11102,18180,2022-06-16
2119,5966,2022-06-21
5958,5910,2022-06-21
11096,12010,2022-06-21
12956,6055,2022-06-21
12190,45674,2022-06-22
4223,2486,2022-06-22
3555,16855,2022-06-22
3570,13297,2022-06-22
3560,12969,2022-06-22
11958,18047,2022-06-22
3705,11478,2022-06-22
12266,6175,2022-06-22
3706,7662,2022-06-22
3593,16760,2022-06-22
3704,14722,2022-06-22
8358,20880,2022-06-22
13185,5079,2022-06-22
3598,12806,2022-06-22
9362,3708,2022-06-22
9522,4073,2022-06-23
13340,11401,2022-06-23
1453,5602,2022-06-23
4719,6952,2022-06-23
9544,46100,2022-06-23
2105,26682,2022-06-23
11957,20728,2022-06-23
11848,3902,2022-06-23
3159,1526,2022-06-28
12140,7714,2022-06-28
5290,3103,2022-06-28
2051,36580,2022-06-28
9938,6429,2022-06-28
12481,3684,2022-06-28
1817,2550,2022-06-28
12482,3944,2022-06-28
2816,20786,2022-06-28
12864,22209,2022-06-28
12551,12830,2022-06-28
10034,43923,2022-06-29
12279,19307,2022-06-29
11100,15299,2022-06-29
7247,4529,2022-06-29
4152,2545,2022-06-29
1721,6600,2022-06-29
13339,21586,2022-06-29
10032,8795,2022-06-29
7248,3816,2022-06-29
11099,16220,2022-06-29
10033,13658,2022-06-29
10031,7655,2022-06-29
13350,3123,2022-06-29
11959,29895,2022-06-29
7834,4783,2022-06-30
3028,42072,2022-06-30
12189,11529,2022-06-30
12186,16260,2022-06-30
13338,14543,2022-06-30
12188,11460,2022-06-30
2208,18582,2022-07-26
5724,11188,2022-07-26
8228,5116,2022-07-26
526,2397,2022-07-26
525,2053,2022-07-26
8229,5625,2022-07-26
5305,3760,2022-07-26
8038,11309,2022-07-26
5301,4353,2022-07-26
9311,676,2022-07-26
2562,15554,2022-07-26
2561,17884,2022-07-26
136,8174,2022-07-26
10080,12851,2022-07-27
8039,11100,2022-07-27
6664,6393,2022-07-27
13264,31503,2022-07-27
13263,34547,2022-07-27
13300,1354,2022-07-27
2288,6279,2022-07-27
6665,6818,2022-07-27
11857,4274,2022-07-27
11838,11837,2022-07-27
3462,17660,2022-07-27
10733,1649,2022-07-27
7677,1617,2022-07-27
10732,2221,2022-07-27
12903,4830,2022-07-28
6849,19734,2022-07-28
4827,26459,2022-07-28
1114,2598,2022-07-28
1335,17115,2022-07-28
1124,3262,2022-07-28
4768,26030,2022-07-28
448,22559,2022-07-28
5272,11886,2022-07-28
161,12757,2022-07-28
12803,20608,2022-07-28
5270,10651,2022-07-28
5681,10164,2022-07-28
5183,20028,2022-07-28
2480,5971,2022-07-28
2479,3339,2022-07-28
12706,20525,2022-07-28
4779,21097,2022-07-28
10112,14406,2022-08-03
12191,13857,2022-08-03
10124,16822,2022-08-03
1086,9159,2022-08-03
12192,18209,2022-08-03
7770,9780,2022-08-03
4415,2349,2022-08-03
5948,7314,2022-08-09
3260,12498,2022-08-09
11903,10814,2022-08-09
5695,4014,2022-08-09
4115,4258,2022-08-09
11854,10442,2022-08-09
4349,25231,2022-08-09
5403,10819,2022-08-09
9317,14293,2022-08-09
3271,11734,2022-08-09
4345,24373,2022-08-09
3275,12402,2022-08-09
4339,49302,2022-08-09
4346,33336,2022-08-09
8520,64382,2022-08-10
10830,5384,2022-08-10
8501,53572,2022-08-10
8502,50610,2022-08-10
8498,56860,2022-08-10
2834,18361,2022-08-10
844,2990,2022-08-10
2836,15632,2022-08-10
3203,13434,2022-08-10
8935,3962,2022-08-10
3317,23294,2022-08-10
2845,19067,2022-08-10
13488,11904,2022-08-10
3517,6110,2022-08-10
10832,2576,2022-08-10
2842,19476,2022-08-10
13546,19533,2022-08-10
876,3987,2022-08-10
8529,59734,2022-08-10
13086,33406,2022-08-10
13085,15707,2022-08-10
205,4817,2022-08-10
272,6743,2022-08-10
3458,39527,2022-08-10
2381,16878,2022-08-10
9506,6074,2022-08-10
2092,4501,2022-08-10
2098,6420,2022-08-10
10258,4747,2022-08-10
10260,6664,2022-08-10
2737,4221,2022-08-10
12579,5530,2022-08-10
9503,3982,2022-08-10
10428,18642,2022-08-10
3692,2119,2022-08-10
9318,26257,2022-08-11
12155,2580,2022-08-11
12950,7917,2022-08-11
8047,13131,2022-08-11
5643,2287,2022-08-11
10963,652,2022-08-11
9895,6478,2022-08-11
121,2525,2022-08-11
1230,7576,2022-08-11
6730,19485,2022-08-11
8213,2755,2022-08-16
7851,8436,2022-08-16
3454,10099,2022-08-16
7855,4869,2022-08-16
13142,5528,2022-08-16
3478,13737,2022-08-16
7537,2025,2022-08-16
10149,19642,2022-08-16
3186,9261,2022-08-16
2720,1842,2022-08-16
11098,27321,2022-08-16
3457,10802,2022-08-16
10147,5875,2022-08-16
3176,10720,2022-08-16
4343,43212,2022-08-17
11909,23575,2022-08-17
4350,23395,2022-08-17
11905,8142,2022-08-17
11585,10186,2022-08-17
4888,15325,2022-08-17
5969,16089,2022-08-17
3503,11645,2022-08-17
4881,22088,2022-08-17
4902,18247,2022-08-17
10353,2725,2022-08-17
4341,30508,2022-08-17
7058,10978,2022-08-17
6463,6960,2022-08-17
13150,13358,2022-08-17
4939,21159,2022-08-17
2408,21763,2022-08-18
8531,59205,2022-08-18
2421,25462,2022-08-18
8533,55373,2022-08-18
8526,59806,2022-08-18
4352,3185,2022-08-18
11583,17639,2022-08-18
8582,60816,2022-08-18
7856,6998,2022-08-18
6409,6541,2022-08-18
2837,16089,2022-08-18
6183,3888,2022-08-18
8522,53988,2022-08-18
2360,23830,2022-08-18
4895,14846,2022-08-18
6305,7993,2022-08-18
7870,6998,2022-08-18
11847,5738,2022-08-18
13475,6043,2022-08-18
13578,447,2022-08-24
8323,1981,2022-08-24
9361,3537,2022-08-24
9740,5631,2022-08-31
13022,16808,2022-08-31
10604,1334,2022-08-31
621,11893,2022-08-31
7760,4203,2022-08-31
1877,5619,2022-08-31
11855,9541,2022-08-31
9663,9367,2022-08-31
578,4736,2022-09-06
10427,1997,2022-09-06
979,4978,2022-09-06
7268,43082,2022-09-06
1046,2920,2022-09-06
11060,3378,2022-09-06
13598,6571,2022-09-06
758,4080,2022-09-07
116,3379,2022-09-07
941,4780,2022-09-07
896,2067,2022-09-07
591,2788,2022-09-07
835,4321,2022-09-07
3578,15636,2022-09-07
983,2753,2022-09-07
906,5535,2022-09-07
959,4041,2022-09-07
1108,2273,2022-09-07
839,6100,2022-09-07
1206,17195,2022-09-08
1216,4249,2022-09-08
1280,3258,2022-09-08
7060,27068,2022-09-08
1856,5256,2022-09-08
1719,2525,2022-09-08
1820,1123,2022-09-08
1851,5027,2022-09-08
9349,16182,2022-09-08
2334,676,2022-09-08
11521,1485,2022-09-08
1506,2984,2022-09-08
1654,1047,2022-09-08
1578,2934,2022-09-08
1585,4309,2022-09-08
703,4889,2022-09-08
1583,3365,2022-09-08
1459,28906,2022-09-08
1575,1988,2022-09-08
1658,6012,2022-09-08
1531,5659,2022-09-08
1684,3481,2022-09-08
12534,3361,2022-09-13
1879,4928,2022-09-13
2532,1886,2022-09-13
2780,1465,2022-09-13
1951,843,2022-09-13
2490,2664,2022-09-13
2492,1067,2022-09-13
2470,13466,2022-09-13
2564,1655,2022-09-13
2785,3505,2022-09-13
2563,16383,2022-09-13
2797,7960,2022-09-13
2116,1810,2022-09-13
2870,5826,2022-09-14
2871,16570,2022-09-14
2782,2676,2022-09-14
2172,27364,2022-09-14
2806,893,2022-09-14
2684,3539,2022-09-14
2682,5982,2022-09-14
2900,5969,2022-09-15
12518,9571,2022-09-15
3059,13609,2022-09-15
2270,14797,2022-09-15
12580,6238,2022-09-15
2272,19846,2022-09-15
2748,1652,2022-09-15
3057,21005,2022-09-15
2552,15846,2022-09-15
3058,14196,2022-09-15
3056,12219,2022-09-15
2827,6004,2022-09-22
10044,17317,2022-09-22
6636,12014,2022-09-22
11985,8451,2022-09-22
9716,11789,2022-09-22
12618,6567,2022-10-25
4336,2030,2022-10-25
13463,23142,2022-10-25
13446,30627,2022-10-25
2817,19169,2022-10-25
9590,55944,2022-10-25
1633,3171,2022-10-25
2261,16801,2022-10-25
10890,13843,2022-10-26
4563,6373,2022-10-26
10959,22379,2022-10-26
13219,13015,2022-10-26
8404,2855,2022-10-26
7655,7636,2022-10-26
2154,4189,2022-10-26
12506,11828,2022-10-26
7846,5820,2022-10-26
1781,4702,2022-10-26
1470,26786,2022-10-26
9019,12103,2022-10-26
4577,2945,2022-10-27
12566,3069,2022-11-22
1553,13703,2022-11-22
9644,22152,2022-11-22
10439,5710,2022-11-22
13388,15992,2022-11-22
3649,1335,2022-11-22
6839,17907,2022-11-22
